1267998551	20251011	202510	2025	2025.7699											PAK	PAKISTANI	PAK								1	010	010	01	1	0.0	4	1	4	-1.52284263959391	0								4	Pasni, Balochistan, Pakistan	PK	PK02	23616	25.2631	63.471	-2771245	4	Pasni, Balochistan, Pakistan	PK	PK02	23616	25.2631	63.471	-2771245	20251011040000	https://www.zerohedge.com/geopolitical/us-port-pakistan-would-complete-its-pro-western-pivot
1267998552	20251011	202510	2025	2025.7699											PAK	PAKISTANI	PAK								1	040	040	04	1	1.0	4	1	4	-1.52284263959391	0								4	Pasni, Balochistan, Pakistan	PK	PK02	23616	25.2631	63.471	-2771245	4	Pasni, Balochistan, Pakistan	PK	PK02	23616	25.2631	63.471	-2771245	20251011040000	https://www.zerohedge.com/geopolitical/us-port-pakistan-would-complete-its-pro-western-pivot
1267998553	20251011	202510	2025	2025.7699											PAK	PAKISTAN	PAK								1	190	190	19	4	-10.0	2	1	2	-3.93120393120393	0								4	Kashmir, North-West Frontier, Pakistan	PK	PK03	40350	34.796	72.1502	-2764806	4	Kashmir, North-West Frontier, Pakistan	PK	PK03	40350	34.796	72.1502	-2764806	20251011040000	http://www.cambodiantimes.com/news/278630098/j-k-army-pays-tribute-to-2-soldiers-killed-in-kokernag-anti-terror-operation
1267998554	20251011	202510	2025	2025.7699											PAK	PAKISTAN	PAK								1	190	190	19	4	-10.0	5	1	5	-3.93120393120393	0								4	Kashmir, North-West Frontier, Pakistan	PK	PK03	40350	34.796	72.1502	-2764806	4	Chinar, Federally Administered Tribal Areas, Pakistan	PK	PK01	23633	33.7983	70.3689	384654	20251011040000	http://www.cambodiantimes.com/news/278630098/j-k-army-pays-tribute-to-2-soldiers-killed-in-kokernag-anti-terror-operation
1267998555	20251011	202510	2025	2025.7699											PAK	PAKISTAN	PAK								1	190	190	19	4	-10.0	5	1	5	-3.93120393120393	0								4	Chinar, Federally Administered Tribal Areas, Pakistan	PK	PK01	23633	33.7983	70.3689	384654	4	Chinar, Federally Administered Tribal Areas, Pakistan	PK	PK01	23633	33.7983	70.3689	384654	20251011040000	http://www.cambodiantimes.com/news/278630098/j-k-army-pays-tribute-to-2-soldiers-killed-in-kokernag-anti-terror-operation
1267998556	20251011	202510	2025	2025.7699											PAKMIL	PAKISTAN	PAK					MIL			1	190	190	19	4	-10.0	2	1	2	-3.93120393120393	0								4	Chinar, Federally Administered Tribal Areas, Pakistan	PK	PK01	23633	33.7983	70.3689	384654	4	Kashmir, North-West Frontier, Pakistan	PK	PK03	40350	34.796	72.1502	-2764806	20251011040000	http://www.cambodiantimes.com/news/278630098/j-k-army-pays-tribute-to-2-soldiers-killed-in-kokernag-anti-terror-operation
1267998557	20251011	202510	2025	2025.7699											POL	POLISH	POL								1	014	014	01	1	0.0	10	2	10	6.31022374652948	0								0								0								20251011040000	https://www.dailypost.co.uk/whats-on/shopping/shoppers-can-bag-opi-nail-32650369
1267998558	20251011	202510	2025	2025.7699											PTY	POLITICIAN									1	036	036	03	1	4.0	10	1	10	-3.14769975786925	0								4	Twickenham, Richmond upon Thames, United Kingdom	UK	UKL1	40133	51.4333	-0.316667	-2610350	4	Twickenham, Richmond upon Thames, United Kingdom	UK	UKL1	40133	51.4333	-0.316667	-2610350	20251011040000	https://www.richmondandtwickenhamtimes.co.uk/news/national/25535458.flynn-starmer-pushed-broken-britain-bad-worse/
1267998559	20251011	202510	2025	2025.7699											TJK	TAJIKISTAN	TJK								1	057	057	05	1	8.0	10	1	10	0	0								1	Tajikistan	TI	TI		39	71	TI	1	Tajikistan	TI	TI		39	71	TI	20251011040000	https://akipress.com/news:855558:CIS_leaders_sign_19_documents_following_summit_in_Tajikistan/
1267998560	20251011	202510	2025	2025.7699											TWN	TAIWAN	TWN								0	080	080	08	2	5.0	1	1	1	-1.88916876574307	0								4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20251011040000	https://www.yahoo.com/news/articles/taiwans-president-pledges-accelerate-building-032116577.html
1267998561	20251011	202510	2025	2025.7699											TWN	TAIWAN	TWN								0	080	080	08	2	5.0	4	1	4	-1.88916876574307	0								4	Republic Of China, Taiwan (general), Taiwan	TW	TW00	13277	24	121	-2637939	4	Republic Of China, Taiwan (general), Taiwan	TW	TW00	13277	24	121	-2637939	20251011040000	https://www.yahoo.com/news/articles/taiwans-president-pledges-accelerate-building-032116577.html
1267998562	20251011	202510	2025	2025.7699											USA	UNITED STATES	USA								0	010	010	01	1	0.0	1	1	1	-0.90415913200724	0								2	Maryland, United States	US	USMD		39.0724	-76.7902	MD	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20251011040000	https://www.castanetkamloops.net/news/World/577397/President-Donald-Trump-is-in-exceptional-health-his-doctor-says-after-visit-to-Walter-Reed
1267998563	20251011	202510	2025	2025.7699											USA	UNITED STATES	USA								1	014	014	01	1	0.0	4	1	4	1.69491525423728	0								3	Charlotte, North Carolina, United States	US	USNC	NC119	35.2271	-80.8431	1019610	3	Charlotte, North Carolina, United States	US	USNC	NC119	35.2271	-80.8431	1019610	20251011040000	https://wlos.com/news/local/carolina-moment-hurricane-helene-flower-shop-recovery-new-location-henderson-county-operations-owner-expansion-community-hope-flooding
